,ADJOE,WAB,EFG_O,TOR,ORB,DRB,TORD,ADJDE,EFG_D,FTRD,ADJ_T,FTR,3P_D,2P_O,3P_O,W:G
1529,104.2,-8.3,52.1,18.8,26.8,27.1,16.9,105.8,51.2,38.6,64.7,38.2,34.5,47.4,39.7,0.467
1530,103.9,-6.4,46.6,12.9,28.9,29.7,17.1,101.5,47.2,46.6,64.1,39.2,30.8,46.4,31.4,0.533
1531,109.9,-8.0,50.6,16.2,29.9,28.9,17.6,108.1,53.3,33.6,68.5,42.2,39.3,48.5,36.3,0.433
1532,106.4,-9.9,51.3,18.3,29.3,35.4,18.1,110.3,51.9,31.9,65.5,41.6,31.9,48.3,36.7,0.433
1533,102.8,-10.7,49.3,16.3,27.4,32.2,19.6,109.8,50.7,42.0,70.2,42.8,33.0,46.4,36.1,0.529
1534,99.0,-13.7,48.7,20.1,30.6,30.7,17.8,111.1,53.6,45.7,65.6,41.8,40.3,48.7,32.5,0.333
1535,97.9,-6.1,44.2,17.9,30.4,37.1,22.6,94.4,43.8,40.2,64.8,43.0,32.0,43.8,30.0,0.559
1536,105.9,-10.7,51.9,17.5,29.9,30.2,14.8,110.4,50.4,41.9,71.0,40.4,35.0,49.5,37.2,0.448
1537,104.1,-7.7,52.3,17.6,26.9,31.8,16.8,106.4,49.0,40.6,66.4,35.8,33.3,50.9,36.3,0.552
1538,103.6,-10.6,49.8,19.2,26.5,32.3,18.1,105.9,51.1,37.7,67.4,49.1,35.7,48.9,35.3,0.387
1539,96.3,-17.5,46.0,21.8,30.5,29.1,16.6,103.2,47.1,58.6,66.4,34.6,34.6,43.6,33.3,0.219
1540,100.8,-14.0,47.7,17.6,30.3,38.1,18.4,113.0,51.2,47.8,66.6,35.7,37.0,45.0,35.0,0.31
1541,100.8,-8.8,48.5,20.4,33.2,33.7,18.2,106.6,49.4,37.5,66.7,42.9,33.5,49.1,31.3,0.464
1542,93.9,-13.6,44.4,20.4,35.6,35.8,20.6,108.1,47.8,56.3,71.7,33.9,32.8,42.5,32.3,0.4
1543,101.2,-15.1,47.7,19.5,33.3,34.0,16.7,106.9,47.7,41.4,65.0,36.2,33.7,46.9,32.7,0.267
1544,99.2,-7.4,51.1,19.2,30.0,28.6,18.6,100.8,47.7,35.4,67.8,36.0,34.2,52.5,31.9,0.606
1545,112.0,1.4,51.7,21.3,34.5,35.7,18.9,97.6,45.4,36.2,67.2,45.6,32.9,49.7,38.0,0.611
